name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,price_range
White Horse,215 High Street,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537102.0001,169327.0001,-0.028611681,51.40588078,03/20/2022,£
Kelsey House,75 High Street,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537394.0001,169457.0001,-0.024365329,51.40697845,03/20/2022,££
O'Neill's,9 High Street,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537442.0001,169806.0001,-0.023540288,51.41010338,03/20/2022,££
Patrick's Bar,5 High Street,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537442.0001,169806.0001,-0.023540288,51.41010338,03/20/2022,£££
Bricklayers Arms,237 High Street,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,536990.0001,169350.0001,-0.03021222,51.40611456,03/20/2022,££
Slug & Lettuce,150-156 High Street,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537316.0001,169484.0001,-0.025475747,51.40724,03/20/2022,£
Eden Park,422 Upper Elmers End Road,Eden Park,Beckenham,Bromley,,,E09000006,Kelsey and Eden Park,E05000120,537380.0001,167473.0001,-0.025334713,51.38915101,03/20/2022,££
Coach & Horses,Burnhill Road,Beckenham,,Bromley,,,E09000006,Kelsey and Eden Park,E05000120,537372.0001,169313.0001,-0.024737253,51.40568961,03/20/2022,££
Club Langley,2 Hawksbrook Lane,Eden Park,Beckenham,Bromley,,,E09000006,Kelsey and Eden Park,E05000120,537692.0001,167360.0001,-0.020896805,51.38805981,03/20/2022,££
Elm Tree,116 Croydon Road,Elmers End,Beckenham,Bromley,,,E09000006,Clock House,E05000112,536087.0001,168453.0001,-0.043532483,51.39827029,03/20/2022,£
Chancery,90 Bromley Road,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537949.0001,169407.0001,-0.016409376,51.40639434,03/20/2022,£
Jolly Woodman,9 Chancery Lane,Beckenham,,Bromley,,,E09000006,Copers Cope,E05000113,537905.0001,169371.0001,-0.01705565,51.4060815,03/20/2022,£
Railway Hotel,"Red Lodge Road,",West Wickham,,Bromley,,,E09000006,West Wickham,E05000127,538367.0001,166448.0001,-0.011556388,51.37969922,03/20/2022,£
Wheatsheaf,135 High Street,West Wickham,,Bromley,,,E09000006,West Wickham,E05000127,537823.0001,166054.0001,-0.019521944,51.37629058,03/20/2022,££
Swan,2-4 High Street,West Wickham,,Bromley,,,E09000006,West Wickham,E05000127,538172.0001,165988.0001,-0.014535811,51.37561258,03/20/2022,£
Coney,35 Croydon Road,Coney Hall,,Bromley,,,E09000006,Hayes and Coney Hall,E05000119,539453.0001,165364.0001,0.0036146,51.36969131,03/20/2022,£
Sovereign of the Seas,109-111 Queensway,Petts Wood,Orpington,Bromley,,,E09000006,Petts Wood and Knoll,E05000124,544252.0001,167644.0001,0.073443328,51.38898228,03/20/2022,£££
One Inn The Wood,209 Petts Wood Road,Petts Wood,Orpington,Bromley,,,E09000006,Petts Wood and Knoll,E05000124,544396.0001,167712.0001,0.07553935,51.38955675,03/20/2022,££
Daylight Inn,Station Square,Petts Wood,Orpington,Bromley,,,E09000006,Petts Wood and Knoll,E05000124,544486.0001,167595.0001,0.076784472,51.38848239,03/20/2022,£
Bull Inn,Main Road,St Paul's Cray,Orpington,Bromley,,,E09000006,Cray Valley East,E05000114,547397.0001,169336.0001,0.11931875,51.40337918,03/20/2022,££
White Swan,21 Kent Road,St Mary Cray,Orpington,Bromley,,,E09000006,Cray Valley East,E05000114,547081.0001,167375.0001,0.113965799,51.38583862,03/20/2022,£
Beech Tree,75 Wellington Road,St Mary Cray,Orpington,Bromley,,,E09000006,Cray Valley East,E05000114,547008.0001,167198.0001,0.112844071,51.38426692,03/20/2022,£££
Cricketers,93 Chislehurst Road,Orpington,,Bromley,,,E09000006,Petts Wood and Knoll,E05000124,546266.0001,166805.0001,0.102025685,51.3809269,03/20/2022,££
White Hart,106 High St,Orpington,,Bromley,,,E09000006,Petts Wood and Knoll,E05000124,546417.0001,166595.0001,0.104107604,51.37900077,03/20/2022,£
Harvest Moon,141-143 High Street,Orpington,,Bromley,,,E09000006,Orpington,E05000122,546346.0001,166405.0001,0.103009749,51.37731163,03/20/2022,£££
Maxwell,Station Road,Orpington,,Bromley,,,E09000006,Orpington,E05000122,545892.0001,165802.0001,0.096242803,51.37200953,03/20/2022,£
Royal Oak,High Street,Green St Green,Orpington,Bromley,,,E09000006,Chelsfield and Pratts Bottom,E05000110,545578.0001,163448.0001,0.090770532,51.35093538,03/20/2022,££
Queen's Head,73 High Street,Green St Green,Orpington,Bromley,,,E09000006,Chelsfield and Pratts Bottom,E05000110,545578.0001,163611.0001,0.090837232,51.35240022,03/20/2022,£
Rose & Crown,Farnborough Way,Green St Green,Orpington,Bromley,,,E09000006,Darwin,E05000117,545515.0001,163315.0001,0.089811985,51.34975628,03/20/2022,£
Chelsfield,1 Windsor Drive,Chelsfield,Orpington,Bromley,,,E09000006,Chelsfield and Pratts Bottom,E05000110,546687.0001,164023.0001,0.106923419,51.35581747,03/20/2022,££
Woodman,50 High Street,Farnborough,Orpington,Bromley,,,E09000006,Farnborough and Crofton,E05000118,544217.0001,164272.0001,0.071571919,51.35868764,03/20/2022,££
Change of Horses,87 High Street,Farnborough,Orpington,Bromley,,,E09000006,Farnborough and Crofton,E05000118,544059.0001,164302.0001,0.069316108,51.35899734,03/20/2022,£
Bulls Head,Rushmore Hill,Pratts Bottom,Orpington,Bromley,,,E09000006,Chelsfield and Pratts Bottom,E05000110,547188.0001,162234.0001,0.113374242,51.33961082,03/20/2022,££
Bo Peep,Hewitts Road,Chelsfield,Orpington,Bromley,,,E09000006,Chelsfield and Pratts Bottom,E05000110,548948.0001,163415.0001,0.139120363,51.34976537,03/20/2022,£
Five Bells,Church Road,Chelsfield,Orpington,Bromley,,,E09000006,Chelsfield and Pratts Bottom,E05000110,548228.0001,164146.0001,0.129092347,51.3565228,03/20/2022,£££
Queen's Head,25 High Street,Downe,Orpington,Bromley,,,E09000006,Darwin,E05000117,543166.0001,161732.0001,0.055463636,51.33612667,03/20/2022,££
George & Dragon,26 High Street,Downe,Orpington,Bromley,,,E09000006,Darwin,E05000117,543157.0001,161681.0001,0.055314007,51.33567061,03/20/2022,£
Whyte Lyon (Ye Olde),Farnborough Common,Locksbottom,Orpington,Bromley,,,E09000006,Farnborough and Crofton,E05000118,543315.0001,164775.0001,0.058827099,51.36343636,03/20/2022,£
British Queen,427 Crofton Road,Locksbottom,Orpington,Bromley,,,E09000006,Farnborough and Crofton,E05000118,543119.0001,165074.0001,0.056133738,51.36617288,03/20/2022,£
Black Horse,318 Crofton Road,Locksbottom,Orpington,Bromley,,,E09000006,Farnborough and Crofton,E05000118,543266.0001,165250.0001,0.058315104,51.3677175,03/20/2022,££
Buff,Pinewood Drive,Orpington,,Bromley,,,E09000006,Chelsfield and Pratts Bottom,E05000110,545381.0001,164258.0001,0.088274327,51.35826509,03/20/2022,£
Queens Head,2 High Street,Chislehurst,,Bromley,,,E09000006,Chislehurst,E05000111,543886.0001,170825.0001,0.069476602,51.41766218,03/20/2022,££
